"Challenge H-ID",rec_Title,Source,"Source year",Status,Conditions,Basis,"Location Description",City,Location
969,"Castillo
Baeza","Semanario La Prensa. Los Andes",1928-03-02,,,,,,"POINT(-70.597218 -32.833799)"
972,"Araya
Bolli","Semanario La Prensa. Los Andes",1928-04-05,,,,"Manager's business, downtown Los Andes.",,"POINT(-70.600875 -32.835752)"
975,"Valdes
Pérez","Semanario La Prensa. Los Andes",1928-04-08,,,,,,"POINT(-70.688871 -32.833203)"
978,"Ortiz
Araya","Semanario La Prensa. Los Andes",1928-04-08,,,,,,"POINT(-70.598582 -32.833016)"
985,"Valdes
Gallardo","Semanario La Prensa. Los Andes",1928-04-29,,,,,,"POINT(-70.593621 -32.834478)"
986,"Silva
Iñiguez","Los Sports",1924-02-01,accepted,,,,,"POINT(-70.397502 -23.650928)"
988,"Flores
Farrafino","Los Sports",1924-03-07,,,,,,"POINT(-70.397502 -23.650928)"
993,"Huerta
Giaverini","Los Sports",1924-02-01,,,,,,"POINT(-70.397502 -23.650928)"
994,"Huerta
Giaverini","Los Sports",1924-02-01,,,,,,"POINT(-70.397502 -23.650928)"
1000,"Tapia
Inostroza","Los Sports",1924-03-07,,,,,,"POINT(-70.397502 -23.650928)"
1002,"Alley
Salinas","Los Sports",1924-03-07,accepted,,,,,
1004,"Olguín
Valdenegro","Los Sports",1924-03-07,,,,,,
1005,"Olguín
Henriquez","Los Sports",1924-03-07,,,,,,
1007,"Olguín
Leiva","Los Sports",1924-03-07,,,,,,
1009,"Acosta
Molina","Los Sports",1924-03-14,,,,,,"POINT(-70.669265 -33.44889)"
1011,"Acosta
Parra","Los Sports",1924-03-14,,,,,,"POINT(-70.669265 -33.44889)"
1013,"Rios
Arratia","Los Sports",1924-03-14,,,,,,
1015,"Caldera
Anguita","Los Sports",1924-04-04,,,,,,
1017,"Caldera
Giaverini","Los Sports",1924-04-04,,,,,,
1018,"Guerrero
Lasseube",Vicentini,1924-01-23,,"Box Federation",,,,
1020,"Gonzalez
Suarez","Los Sports",1924-04-15,,,,,,"POINT(-70.135669 -20.230703)"
1022,"Gonzalez
Correa","Los Sports",1924-04-15,,,,,,"POINT(-70.135669 -20.230703)"
1023,"Gonzalez
Cipry","Los Sports",1924-04-15,,,,,,"POINT(-70.135669 -20.230703)"
1025,"Gonzalez
Saavedra","Los Sports",1924-04-15,,,,,,"POINT(-70.135669 -20.230703)"
1027,"Villablanca
Jaña","Los Sports",1924-05-23,,,,,,"POINT(-70.648396 -33.444609)"
1028,"Villablanca
Meza","Los Sports",1924-05-23,,,,,,"POINT(-70.648396 -33.444609)"
1030,"García
Valdivieso","Los Sports",1924-01-25,,,,,,
1034,"Guerra
Martinez","Los Sports",1924-01-25,,,,,,
1036,"Araya
Mery","Los Sports",1924-01-25,,,,,,
1037,"Tapia
Ibarra","Los Sports",1924-01-25,,,,,,
1039,"Fajardo
Iglesias","Los Sports",1924-01-25,,,,,,
1041,"Vargas
Rojas","Los Sports",1924-01-25,,"in benefit",,,,
1042,"Amparán
Mendez","Los Sports",1924-01-25,,,,,,
1045,"Barros
Trias",Vicentini,1924-01-23,,,,,,"POINT(-70.641377 -33.455236)"
1046,"Ibarra
Astorga",Vicentini,1924-01-23,,,,,,"POINT(-70.641377 -33.455236)"
1047,"Ibarra
Sandoval",Vicentini,1924-01-23,,,,,,
1049,"Avendaño
Inostroza",Vicentini,1924-01-23,,,,,,
1050,"Salinas
Lasseube",Vicentini,1924-01-23,,"Boxing Federation",,,,
1084,"Arancibia
Torres","El Mercurio de Valparaiso",1923-01-01,Accepted,,,,,"POINT(-71.612688 -33.047238)"
1139,"Beell
Férnandez","Los Sports",1925-01-23,,,,,,"POINT(-71.612688 -33.047238)"
1140,"Beell
Sanchez","Los Sports",1925-01-23,,,,,,"POINT(-71.612688 -33.047238)"
1143,"Wilson
Lafourcade","Los Sports",1925-01-23,,tiebreak,,,,
1144,"Acosta
Parra","Los Sports",1925-01-23,,tiebreak,,,,
1147,"Varela
Vera","Los Sports",1925-02-20,,,,,,
1152,"Adasme
Contreras","Los Sports",1925-02-27,,,,,,
1153,"González
Coll","Los Sports",1925-03-13,,,,,,"POINT(-70.669265 -33.44889)"
1156,"Romero
Martinez","Los Sports",1925-03-20,,,,,,
1159,"Vargas
Jouglar","Los Sports",1925-03-20,,,,,,
1161,"Caceres
Valenzuela","Los Sports",1925-03-20,,,,,,
1164,"Concha
Berbelegua","Los Sports",1925-03-20,,,,,,
1165,"Gonzalez
Duque Rodríguez","Los Sports",1925-03-20,,,,,,
1166,"Gonzalez
Murray","Los Sports",1925-03-20,,,,,,
1167,"Gonzalez
Suarez","Los Sports",1925-03-20,,,,,,
1174,"Gazmuri
Araya","Los Sports",1925-04-10,,,,,,
1175,"Gazmuri
Mardones","Los Sports",1925-04-10,,,,,,
1180,"Salas
Keller","Los Sports",1925-04-10,,,,,,
1188,"Santilly
García","La Prensa de Talagante",1928-05-06,,,"agreement in La Prensa Talagante",,,
1196,"Vásquez
Molina","Los Sports",1925-04-17,,,,,,"POINT(-70.597841 -33.456668)"
1203,"Fuenzalida
Silva","Los Sports",1925-05-10,re-match,,,,,
