"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID",rec_Title,Title,"Given name(s)","Person type","Family name","Boxer Challenged H-ID",Status,Conditions,Basis,"Location Description",City,Location
969,"Castillo
Baeza","Semanario La Prensa. Los Andes",1928-03-02,865,"Castillo, Ernesto",,Ernesto,Boxer,Castillo,836,,,,,,"POINT(-70.597218 -32.833799)"
972,"Araya
Bolli","Semanario La Prensa. Los Andes",1928-04-05,882,"Araya, Manuel",,Manuel,Boxer,Araya,780,,,,"Manager's business, downtown Los Andes.",,"POINT(-70.600875 -32.835752)"
975,"Valdes
Pérez","Semanario La Prensa. Los Andes",1928-04-08,833,"Valdes, Mario",,Mario,Boxer,Valdes,272,,,,,,"POINT(-70.688871 -32.833203)"
978,"Ortiz
Araya","Semanario La Prensa. Los Andes",1928-04-08,976,"Ortiz, Rafael",,Rafael,Boxer,Ortiz,882,,,,,,"POINT(-70.598582 -32.833016)"
985,"Valdes
Gallardo","Semanario La Prensa. Los Andes",1928-04-29,833,"Valdes, Mario",,Mario,Boxer,Valdes,827,,,,,,"POINT(-70.593621 -32.834478)"
986,"Silva
Iñiguez","Los Sports",1924-02-01,189,"Silva, Carlos",,Carlos,Boxer,Silva,987,accepted,,,,,"POINT(-70.397502 -23.650928)"
988,"Flores
Farrafino","Los Sports",1924-03-07,302,"Flores, Sara",,Sara,Boxer,Flores,303,,,,,,"POINT(-70.397502 -23.650928)"
993,"Huerta
Giaverini","Los Sports",1924-02-01,891,"Huerta, Francisco",,Francisco,Boxer,Huerta,573,,,,,,"POINT(-70.397502 -23.650928)"
994,"Huerta
Giaverini","Los Sports",1924-02-01,891,"Huerta, Francisco",,Francisco,Boxer,Huerta,573,,,,,,"POINT(-70.397502 -23.650928)"
1000,"Tapia
Inostroza","Los Sports",1924-03-07,158,"Tapia, Julio",,Julio,Boxer,Tapia,1001,,,,,,"POINT(-70.397502 -23.650928)"
1002,"Alley
Salinas","Los Sports",1924-03-07,1003,"Alley, Juan",,Juan,,Alley,321,accepted,,,,,
1004,"Olguín
Valdenegro","Los Sports",1924-03-07,647,"Olguín, Humberto",,Humberto,Boxer,Olguín,423,,,,,,
1005,"Olguín
Henriquez","Los Sports",1924-03-07,647,"Olguín, Humberto",,Humberto,Boxer,Olguín,1006,,,,,,
1007,"Olguín
Leiva","Los Sports",1924-03-07,647,"Olguín, Humberto",,Humberto,Boxer,Olguín,1008,,,,,,
1009,"Acosta
Molina","Los Sports",1924-03-14,332,"Acosta, Luis J.",,"Luis J.",Boxer,Acosta,1010,,,,,,"POINT(-70.669265 -33.44889)"
1011,"Acosta
Parra","Los Sports",1924-03-14,332,"Acosta, Luis J.",,"Luis J.",Boxer,Acosta,1012,,,,,,"POINT(-70.669265 -33.44889)"
1013,"Rios
Arratia","Los Sports",1924-03-14,502,"Rios, Agustin",,Agustin,Boxer,Rios,1014,,,,,,
1015,"Caldera
Anguita","Los Sports",1924-04-04,143,"Caldera, Francisco",,Francisco,Boxer,Caldera,572,,,,,,
1017,"Caldera
Giaverini","Los Sports",1924-04-04,143,"Caldera, Francisco",,Francisco,Boxer,Caldera,573,,,,,,
1018,"Guerrero
Lasseube",Vicentini,1924-01-23,77,"Guerrero, Angel",,Angel,Boxer,Guerrero,146,,"Box Federation",,,,
1020,"Gonzalez
Suarez","Los Sports",1924-04-15,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,1021,,,,,,"POINT(-70.135669 -20.230703)"
1022,"Gonzalez
Correa","Los Sports",1924-04-15,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,735,,,,,,"POINT(-70.135669 -20.230703)"
1023,"Gonzalez
Cipry","Los Sports",1924-04-15,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,1024,,,,,,"POINT(-70.135669 -20.230703)"
1025,"Gonzalez
Saavedra","Los Sports",1924-04-15,639,"Gonzalez, Johnston",,Johnston,Boxer,Gonzalez,1026,,,,,,"POINT(-70.135669 -20.230703)"
1027,"Villablanca
Jaña","Los Sports",1924-05-23,732,"Villablanca, Luis",,Luis,Boxer,Villablanca,223,,,,,,"POINT(-70.648396 -33.444609)"
1028,"Villablanca
Meza","Los Sports",1924-05-23,732,"Villablanca, Luis",,Luis,Boxer,Villablanca,733,,,,,,"POINT(-70.648396 -33.444609)"
1030,"García
Valdivieso","Los Sports",1924-01-25,163,"García, Francisco",,Francisco,Boxer,García,1031,,,,,,
1034,"Guerra
Martinez","Los Sports",1924-01-25,162,"Guerra, Oscar",,Oscar,Amateur,Guerra,1035,,,,,,
