"Boxer H-ID",rec_Title,Title,"Given name(s)","Person type","Person type ID","Person type StdCode","Family name"
865,"Castillo, Ernesto",,Ernesto,Boxer,6256,,Castillo
836,"Baeza, Florencio",,Florencio,Boxer,6256,,Baeza
882,"Araya, Manuel",,Manuel,Boxer,6256,,Araya
780,"Bolli, Carlos",,Carlos,Boxer,6256,,Bolli
833,"Valdes, Mario",,Mario,Boxer,6256,,Valdes
272,"Pérez, Amador","former champion",Amador,Boxer,6256,,Pérez
976,"Ortiz, Rafael",,Rafael,Boxer,6256,,Ortiz
827,"Gallardo, Pedro",,Pedro,Boxer,6256,,Gallardo
189,"Silva, Carlos",,Carlos,Boxer,6256,,Silva
987,"Iñiguez, Mario",,Mario,Boxer,6256,,Iñiguez
302,"Flores, Sara",,Sara,Boxer,6256,,Flores
303,"Farrafino, Clementina",,Clementina,Boxer,6256,,Farrafino
891,"Huerta, Francisco",,Francisco,Boxer,6256,,Huerta
573,"Giaverini, Oscar",,Oscar,Boxer,6256,,Giaverini
158,"Tapia, Julio",,Julio,Boxer,6256,,Tapia
1001,"Inostroza, Ruperto",,Ruperto,,,,Inostroza
1003,"Alley, Juan",,Juan,,,,Alley
321,"Salinas, Juan",,Juan,Boxer,6256,,Salinas
647,"Olguín, Humberto",,Humberto,Boxer,6256,,Olguín
423,Valdenegro,,,Boxer,6256,,Valdenegro
1006,Henriquez,,,Boxer,6256,,Henriquez
1008,Leiva,,,Boxer,6256,,Leiva
332,"Acosta, Luis J.",,"Luis J.",Boxer,6256,,Acosta
1010,"Molina, Erasmo",,Erasmo,Boxer,6256,,Molina
1012,"Parra, Routier",,Routier,Boxer,6256,,Parra
502,"Rios, Agustin",,Agustin,Boxer,6256,,Rios
1014,"Arratia, Jose",,Jose,Boxer,6256,,Arratia
143,"Caldera, Francisco",,Francisco,Boxer,6256,,Caldera
572,"Anguita, Oscar",,Oscar,Boxer,6256,,Anguita
77,"Guerrero, Angel",,Angel,Boxer,6256,,Guerrero
146,"Lasseube, Enrique",,Enrique,Boxer,6256,,Lasseube
639,"Gonzalez, Johnston",,Johnston,Boxer,6256,,Gonzalez
1021,"Suarez, Pablo",,Pablo,Boxer,6256,,Suarez
735,"Correa, Luis",,Luis,Boxer,6256,,Correa
1024,"Cipry, John",,John,,,,Cipry
1026,"Saavedra, Clemente",,Clemente,Boxer,6256,,Saavedra
732,"Villablanca, Luis",,Luis,Boxer,6256,,Villablanca
223,"Jaña, Andres",,Andres,Boxer,6256,,Jaña
733,"Meza, Fernando",,Fernando,Boxer,6256,,Meza
163,"García, Francisco",,Francisco,Boxer,6256,,García
1031,"Valdivieso, Raul",,Raul,Boxer,6256,,Valdivieso
162,"Guerra, Oscar",,Oscar,Amateur,6304,,Guerra
1035,"Martinez, Alejandro",,Alejandro,Boxer,6256,,Martinez
175,"Araya, Jorge",lightweight,Jorge,Boxer,6256,,Araya
98,"Mery, Oscar",,Oscar,Boxer,6256,,Mery
174,"Tapia, Manuel",,Manuel,Boxer,6256,,Tapia
1038,"Ibarra, Daniel",,Daniel,Professional,6316,,Ibarra
177,"Fajardo, Ruperto",,Ruperto,Boxer,6256,,Fajardo
1040,"Iglesias, Alvaro",,Alvaro,Boxer,6256,,Iglesias
178,"Vargas, Armando",,Armando,Boxer,6256,,Vargas
126,"Rojas, Nicanor",,Nicanor,Boxer,6256,,Rojas
185,"Amparán, Miguel",,Miguel,Boxer,6256,,Amparán
1043,"Mendez, Arturo",,Arturo,Boxer,6256,,Mendez
933,"Barros, Rogelio",,Rogelio,Boxer,6256,,Barros
934,"Trias, Alfonso",,Alfonso,Boxer,6256,,Trias
935,"Ibarra, Carlos",,Carlos,Boxer,6256,,Ibarra
936,"Astorga, Raul",,Raul,Boxer,6256,,Astorga
1048,"Sandoval, Luis",,Luis,Boxer,6256,,Sandoval
937,"Avendaño, Manuel",,Manuel,Boxer,6256,,Avendaño
938,"Inostroza, Lupercio",,Lupercio,Boxer,6256,,Inostroza
939,"Salinas, Luis",,Luis,Boxer,6256,,Salinas
1079,"Arancibia, Alfredo",,Alfredo,Boxer,6256,,Arancibia
1080,"Torres, Guillermo",,Guillermo,Boxer,6256,,Torres
1138,"Beell, John",,John,Boxer,6256,,Beell
276,"Férnandez, Luis",,Luis,Boxer,6256,,Férnandez
535,"Sanchez, Orlando",,Orlando,Boxer,6256,,Sanchez
1142,"Wilson, Manuel",,Manuel,Boxer,6256,,Wilson
1141,"Lafourcade, Luis",,Luis,Boxer,6256,,Lafourcade
1145,"Acosta, Genaro",,Genaro,Boxer,6256,,Acosta
1146,"Parra, A.",,A.,,,,Parra
439,"Varela, Faustino",,Faustino,Boxer,6256,,Varela
1149,"Vera, Juan",,Juan,,,,Vera
1150,"Adasme, Alejandro",,Alejandro,Boxer,6256,,Adasme
1151,"Contreras, Humberto",,Humberto,Boxer,6256,,Contreras
14,"González, Gilberto",,Gilberto,Boxer,6256,,González
1131,"Coll, Lorenzo",,Lorenzo,Boxer,6256,,Coll
1154,"Romero, Elías",,Elías,Boxer,6256,,Romero
1155,"Martinez, Erasmo",,Erasmo,Boxer,6256,,Martinez
1157,"Vargas, Julio",,Julio,Boxer,6256,,Vargas
1158,"Jouglar, Jorge",,Jorge,Boxer,6256,,Jouglar
