"Boxer H-ID",Cathegory,Weight,Weight_kgs,"Family name","Given name(s)","Job Affiliation",Age,City,Gender,"Source year",Source,"Club Affiliation H-ID","Club Affiliation RecordTitle"
4,Amateur,,,Barrera,Alejandro,,,,,1923-03-15,"Los Sports",,
5,,,,Ovando,Luis,,,Chile,,1924-01-11,"Los Sports",,
8,,,,Hellfman,Federico,,,,,1924-01-11,"Los Sports",,
12,Amateur,,,Rojas,"Victor M.",,,"San Felipe",Male,1923-01-11,"Los Sports",,
13,,Pesado,,Zárate,Manuel,,,"San Felipe",Male,1924-01-11,"Los Sports",,
14,Amateur,Mosca,,González,Gilberto,,,,Male,11-01-1924,"Los Sports",925,"Heriberto Rojas Boxing Club"
18,Amateur,Pluma,,Castillo,"José M.",,,,Male,11-01-1924,"Los Sports",925,"Heriberto Rojas Boxing Club"
19,Amateur,gallo,,García,Manuel,,,,Male,1924-01-11,"Los Sports",925,"Heriberto Rojas Boxing Club"
56,,,,Beiza,Juan,,,,,1923-06-03,"Los Sports",,
62,Amateur,"middlelight weight",,Contreras,Victor,,,,Male,1923-03-06,"Los Sports",,
67,,,,Soto,Carlos,,,,,1924-01-04,"Los Sports",,
68,,,,Gomez,Luis,,,Antofagasta,Male,1924-01-04,"Los Sports",,
77,Professional,,,Guerrero,Angel,,,,,1924-01-04,"Los Sports",,
79,,,,Pérez,Carlos,,,,,1924-01-04,"Los Sports",,
87,Professional,,,Abarca,Manuel,,,,,1922-01-11,"Los Sports",,
88,Amateur,"heavy weight",,Contreras,Manuel,,,,Male,11-01-1924,"Los Sports",,
89,Amateur,"light weight",,Díaz,Efraín,,,,,11-01-1924,"Los Sports",,
96,Amateur,"middle weight",,Flores,Pedro,,,,,1924-01-11,"Los Sports",,
97,Amateur,,,Nuñez,Rodolfo,"Ministerio de Guerra",,,Male,1924-01-11,"Los Sports",94,"Minsterio de Guerra"
98,Amateur,,,Mery,Oscar,"Batallón de Telégrafos",,,Male,1924-01-11,"Los Sports",95,"Batallón de Telégrafos"
99,Amateur,,,Santibañez,Pedro,"Escuela de Caballería, Ejército de Chile",,,Male,1924-01-11,"Los Sports",101,"Escuela de Caballería"
104,Amateur,,,Gomez,Marcos,,,,,1923-01-11,"Los Sports",102,"Girardi Boxing Club"
105,Amateur,,,Riveros,Gonzalo,,,Mulchen,,1924-01-11,"Los Sports",,
