"Boxer H-ID",rec_Title
882,"Araya, Manuel"
780,"Bolli, Carlos"
833,"Valdes, Mario"
272,"Pérez, Amador"
976,"Ortiz, Rafael"
827,"Gallardo, Pedro"
189,"Silva, Carlos"
987,"Iñiguez, Mario"
302,"Flores, Sara"
303,"Farrafino, Clementina"
891,"Huerta, Francisco"
573,"Giaverini, Oscar"
158,"Tapia, Julio"
1001,"Inostroza, Ruperto"
1003,"Alley, Juan"
321,"Salinas, Juan"
647,"Olguín, Humberto"
423,Valdenegro
1006,Henriquez
1008,Leiva
332,"Acosta, Luis J."
1010,"Molina, Erasmo"
1012,"Parra, Routier"
502,"Rios, Agustin"
1014,"Arratia, Jose"
143,"Caldera, Francisco"
572,"Anguita, Oscar"
77,"Guerrero, Angel"
146,"Lasseube, Enrique"
639,"Gonzalez, Johnston"
1021,"Suarez, Pablo"
735,"Correa, Luis"
1024,"Cipry, John"
1026,"Saavedra, Clemente"
732,"Villablanca, Luis"
223,"Jaña, Andres"
733,"Meza, Fernando"
163,"García, Francisco"
1031,"Valdivieso, Raul"
162,"Guerra, Oscar"
1035,"Martinez, Alejandro"
175,"Araya, Jorge"
98,"Mery, Oscar"
174,"Tapia, Manuel"
1038,"Ibarra, Daniel"
177,"Fajardo, Ruperto"
1040,"Iglesias, Alvaro"
178,"Vargas, Armando"
126,"Rojas, Nicanor"
185,"Amparán, Miguel"
1043,"Mendez, Arturo"
933,"Barros, Rogelio"
934,"Trias, Alfonso"
935,"Ibarra, Carlos"
936,"Astorga, Raul"
1048,"Sandoval, Luis"
937,"Avendaño, Manuel"
938,"Inostroza, Lupercio"
939,"Salinas, Luis"
1079,"Arancibia, Alfredo"
1080,"Torres, Guillermo"
1138,"Beell, John"
276,"Férnandez, Luis"
535,"Sanchez, Orlando"
1142,"Wilson, Manuel"
1141,"Lafourcade, Luis"
1145,"Acosta, Genaro"
1146,"Parra, A."
439,"Varela, Faustino"
1149,"Vera, Juan"
1150,"Adasme, Alejandro"
1151,"Contreras, Humberto"
14,"González, Gilberto"
1131,"Coll, Lorenzo"
1154,"Romero, Elías"
1155,"Martinez, Erasmo"
1157,"Vargas, Julio"
1158,"Jouglar, Jorge"
1160,"Caceres, Andres"
339,"Valenzuela, Oscar"
1162,"Concha, Luis A."
1163,Berbelegua
156,"Duque Rodríguez, José"
420,"Murray, Willie"
1179,"Gazmuri, Rafael"
1172,"Araya, Segundo"
1173,"Mardones, Arturo"
1171,"Salas, Alfredo"
1177,"Keller, Pedro"
1190,"Santilly, Atilio"
1191,"García, Oscar"
1197,"Vásquez, Luis Alberto"
1198,"Fuenzalida, Humberto"
1201,"Silva, Filadelfio"
1202,"Mella, Alfredo"
1205,"Saenz, Isidro"
1206,"Langford, Kid"
982,"Bull, John"
1210,"Castro, Juan"
1212,"Marchant, Aquiles"
1215,"Rojas, Froilan"
1218,"Fuentes, Angel"
1219,"Parra, Humberto"
1223,"Diaz, Heriberto"
1225,"Cepeda, Luis"
1226,"Lagos, Luis"
1228,"Martínez, Francisco"
530,"Pozo, Carlos"
