source,target
"Araya, Manuel","Bolli, Carlos"
"Valdes, Mario","Pérez, Amador"
"Ortiz, Rafael","Araya, Manuel"
"Valdes, Mario","Gallardo, Pedro"
"Silva, Carlos","Iñiguez, Mario"
"Flores, Sara","Farrafino, Clementina"
"Huerta, Francisco","Giaverini, Oscar"
"Huerta, Francisco","Giaverini, Oscar"
"Tapia, Julio","Inostroza, Ruperto"
"Alley, Juan","Salinas, Juan"
"Olguín, Humberto",Valdenegro
"Olguín, Humberto",Henriquez
"Olguín, Humberto",Leiva
"Acosta, Luis J.","Molina, Erasmo"
"Acosta, Luis J.","Parra, Routier"
"Rios, Agustin","Arratia, Jose"
"Caldera, Francisco","Anguita, Oscar"
"Caldera, Francisco","Giaverini, Oscar"
"Guerrero, Angel","Lasseube, Enrique"
"Gonzalez, Johnston","Suarez, Pablo"
"Gonzalez, Johnston","Correa, Luis"
"Gonzalez, Johnston","Cipry, John"
"Gonzalez, Johnston","Saavedra, Clemente"
"Villablanca, Luis","Jaña, Andres"
"Villablanca, Luis","Meza, Fernando"
"García, Francisco","Valdivieso, Raul"
"Guerra, Oscar","Martinez, Alejandro"
"Araya, Jorge","Mery, Oscar"
"Tapia, Manuel","Ibarra, Daniel"
"Fajardo, Ruperto","Iglesias, Alvaro"
"Vargas, Armando","Rojas, Nicanor"
"Amparán, Miguel","Mendez, Arturo"
"Barros, Rogelio","Trias, Alfonso"
"Ibarra, Carlos","Astorga, Raul"
"Ibarra, Carlos","Sandoval, Luis"
"Avendaño, Manuel","Inostroza, Lupercio"
"Salinas, Luis","Lasseube, Enrique"
"Arancibia, Alfredo","Torres, Guillermo"
"Beell, John","Férnandez, Luis"
"Beell, John","Sanchez, Orlando"
"Wilson, Manuel","Lafourcade, Luis"
"Acosta, Genaro","Parra, A."
"Varela, Faustino","Vera, Juan"
"Adasme, Alejandro","Contreras, Humberto"
"González, Gilberto","Coll, Lorenzo"
"Romero, Elías","Martinez, Erasmo"
"Vargas, Julio","Jouglar, Jorge"
"Caceres, Andres","Valenzuela, Oscar"
"Concha, Luis A.",Berbelegua
"Gonzalez, Johnston","Duque Rodríguez, José"
"Gonzalez, Johnston","Murray, Willie"
"Gonzalez, Johnston","Suarez, Pablo"
"Gazmuri, Rafael","Araya, Segundo"
"Gazmuri, Rafael","Mardones, Arturo"
"Salas, Alfredo","Keller, Pedro"
"Santilly, Atilio","García, Oscar"
