"Challenge H-ID",rec_Title,Source,"Source year","Boxers challenging H-ID","Boxers challenging RecordTitle","Boxer Challenged H-ID","Boxer Challenged RecordTitle",Status,Conditions,Basis,"Location Description",City,Location
969,"Castillo
Baeza","Semanario La Prensa. Los Andes",1928-03-02,865,"Castillo, Ernesto",836,"Baeza, Florencio",,,,,,"POINT(-70.597218 -32.833799)"
972,"Araya
Bolli","Semanario La Prensa. Los Andes",1928-04-05,882,"Araya, Manuel",780,"Bolli, Carlos",,,,"Manager's business, downtown Los Andes.",,"POINT(-70.600875 -32.835752)"
975,"Valdes
Pérez","Semanario La Prensa. Los Andes",1928-04-08,833,"Valdes, Mario",272,"Pérez, Amador",,,,,,"POINT(-70.688871 -32.833203)"
978,"Ortiz
Araya","Semanario La Prensa. Los Andes",1928-04-08,976,"Ortiz, Rafael",882,"Araya, Manuel",,,,,,"POINT(-70.598582 -32.833016)"
985,"Valdes
Gallardo","Semanario La Prensa. Los Andes",1928-04-29,833,"Valdes, Mario",827,"Gallardo, Pedro",,,,,,"POINT(-70.593621 -32.834478)"
986,"Silva
Iñiguez","Los Sports",1924-02-01,189,"Silva, Carlos",987,"Iñiguez, Mario",accepted,,,,,"POINT(-70.397502 -23.650928)"
988,"Flores
Farrafino","Los Sports",1924-03-07,302,"Flores, Sara",303,"Farrafino, Clementina",,,,,,"POINT(-70.397502 -23.650928)"
993,"Huerta
Giaverini","Los Sports",1924-02-01,891,"Huerta, Francisco",573,"Giaverini, Oscar",,,,,,"POINT(-70.397502 -23.650928)"
994,"Huerta
Giaverini","Los Sports",1924-02-01,891,"Huerta, Francisco",573,"Giaverini, Oscar",,,,,,"POINT(-70.397502 -23.650928)"
1000,"Tapia
Inostroza","Los Sports",1924-03-07,158,"Tapia, Julio",1001,"Inostroza, Ruperto",,,,,,"POINT(-70.397502 -23.650928)"
1002,"Alley
Salinas","Los Sports",1924-03-07,1003,"Alley, Juan",321,"Salinas, Juan",accepted,,,,,
1004,"Olguín
Valdenegro","Los Sports",1924-03-07,647,"Olguín, Humberto",423,Valdenegro,,,,,,
1005,"Olguín
Henriquez","Los Sports",1924-03-07,647,"Olguín, Humberto",1006,Henriquez,,,,,,
