challenge_id,rec_Title,source,source_year,challenging_id,boxer_challenging,challenged_id,boxer_challenged,status,condition,basis,location_descp,city,location,weight
972,Araya v. Bolli,Semanario La Prensa. Los Andes,1928-04-05,882,"Araya, Manuel",780,"Bolli, Carlos",,,,"Manager's business, downtown Los Andes.",Los Andes,POINT(-70.600875 -32.835752),1
975,Valdes v. Pérez,Semanario La Prensa. Los Andes,1928-04-08,833,"Valdes, Mario",272,"Pérez, Amador",,,,,Los Andes,POINT(-70.688871 -32.833203),2
978,Ortiz v. Araya,Semanario La Prensa. Los Andes,1928-04-08,976,"Ortiz, Rafael",882,"Araya, Manuel",,,,,Los Andes,POINT(-70.598582 -32.833016),2
985,Valdes v. Gallardo,Semanario La Prensa. Los Andes,1928-04-29,833,"Valdes, Mario",827,"Gallardo, Pedro",,,,,Los Andes,POINT(-70.593621 -32.834478),2
986,Silva v. Iñiguez,Los Sports,1924-02-01,189,"Silva, Carlos",987,"Iñiguez, Mario",accepted,,,,Antofagasta,POINT(-70.397502 -23.650928),1
988,Flores v. Farrafino,Los Sports,1924-03-07,302,"Flores, Sara",303,"Farrafino, Cleme",,,,,Antofagasta,POINT(-70.397502 -23.650928),1
993,Huerta v. Giaverini,Los Sports,1924-02-01,891,"Huerta, Francisco",573,"Giaverini, Oscar",,,,,Antofagasta,POINT(-70.397502 -23.650928),2
994,Huerta v. Giaverini,Los Sports,1924-02-01,891,"Huerta, Francisco",573,"Giaverini, Oscar",,,,,Antofagasta,POINT(-70.397502 -23.650928),2
1000,Tapia v. Inostroza,Los Sports,1924-03-07,158,"Tapia, Julio",1001,"Inostroza, Ruperto",,,,,Antofagasta,POINT(-70.397502 -23.650928),1
1002,Alley v. Salinas,Los Sports,1924-03-07,1003,"Alley, Juan",321,"Salinas, Juan",accepted,,,,,,1
1004,Olguín v. Valdenegro,Los Sports,1924-03-07,647,"Olguín, Humberto",423,Valdenegro,,,,,,,1
1005,Olguín v. Henriquez,Los Sports,1924-03-07,647,"Olguín, Humberto",1006,Henriquez,,,,,,,1
1007,Olguín v. Leiva,Los Sports,1924-03-07,647,"Olguín, Humberto",1008,Leiva,,,,,,,1
1009,Acosta v. Molina,Los Sports,1924-03-14,332,"Acosta, Luis J.",1010,"Molina, Erasmo",,,,,Santiago,POINT(-70.669265 -33.44889),1
1011,Acosta v. Parra,Los Sports,1924-03-14,332,"Acosta, Luis J.",1012,"Parra, Routier",,,,,Santiago,POINT(-70.669265 -33.44889),1
1013,Rios v. Arratia,Los Sports,1924-03-14,502,"Rios, Agustin",1014,"Arratia, Jose",,,,,,,1
1015,Caldera v. Anguita,Los Sports,1924-04-04,143,"Caldera, Francisco",572,"Anguita, Oscar",,,,,,,1
1017,Caldera v. Giaverini,Los Sports,1924-04-04,143,"Caldera, Francisco",573,"Giaverini, Oscar",,,,,,,1
1018,Guerrero v. Lasseube,Vicentini,1924-01-23,77,"Guerrero, Angel",146,"Lasseube, Enrique",,Box Federation,,,Santiago,POINT(-70.65045 -33.437776),1
1020,Gonzalez v. Suarez,Los Sports,1924-04-15,639,"Gonzalez, Johnston",1021,"Suarez, Pablo",,,,,Iquique,POINT(-70.135669 -20.230703),2
1022,Gonzalez v. Correa,Los Sports,1924-04-15,639,"Gonzalez, Johnston",735,"Correa, Luis",,,,,Iquique,POINT(-70.135669 -20.230703),1
1023,Gonzalez v. Cipry,Los Sports,1924-04-15,639,"Gonzalez, Johnston",1024,"Cipry, John",,,,,Iquique,POINT(-70.135669 -20.230703),1
1025,Gonzalez v. Saavedra,Los Sports,1924-04-15,639,"Gonzalez, Johnston",1026,"Saavedra, Clemente",,,,,Iquique,POINT(-70.135669 -20.230703),1
1027,Villablanca v. Jaña,Los Sports,1924-05-23,732,"Villablanca, Luis",223,"Jaña, Andres",,,,,Santiago,POINT(-70.648396 -33.444609),1
1028,Villablanca v. Meza,Los Sports,1924-05-23,732,"Villablanca, Luis",733,"Meza, Fernando",,,,,Santiago,POINT(-70.648396 -33.444609),1
1030,García v. Valdivieso,Los Sports,1924-01-25,163,"García, Francisco",1031,"Valdivieso, Raul",,,,,,,1
1034,Guerra v. Martinez,Los Sports,1924-01-25,162,"Guerra, Oscar",1035,"Martinez, Alejandro",,,,,,,1
1036,Araya v. Mery,Los Sports,1924-01-25,175,"Araya, Jorge",98,"Mery, Oscar",,,,,Santiago,POINT(-70.65045 -33.437776),1
1037,Tapia v. Ibarra,Los Sports,1924-01-25,174,"Tapia, Manuel",1038,"Ibarra, Daniel",,,,,,,1
1039,Fajardo v. Iglesias,Los Sports,1924-01-25,177,"Fajardo, Ruperto",1040,"Iglesias, Alvaro",,,,,Santiago,POINT(-70.65045 -33.437776),1
1041,Vargas v. Rojas,Los Sports,1924-01-25,178,"Vargas, Armando",126,"Rojas, Nicanor",,in benefit,,,,,1
1042,Amparán v. Mendez,Los Sports,1924-01-25,185,"Amparán, Miguel",1043,"Mendez, Arturo",,,,,,,1
1045,Barros v. Trias,Vicentini,1924-01-23,933,"Barros, Rogelio",934,"Trias, Alfonso",,,,,Santiago,POINT(-70.641377 -33.455236),1
1046,Ibarra v. Astorga,Vicentini,1924-01-23,935,"Ibarra, Carlos",936,"Astorga, Raul",,,,,Santiago,POINT(-70.641377 -33.455236),1
1047,Ibarra v. Sandoval,Vicentini,1924-01-23,935,"Ibarra, Carlos",1048,"Sandoval, Luis",,,,,Santiago,POINT(-70.65045 -33.437776),1
1049,Avendaño v. Inostroza,Vicentini,1924-01-23,937,"Avendaño, Manuel",938,"Inostroza, L.",,,,,Santiago,POINT(-70.65045 -33.437776),1
1050,Salinas v. Lasseube,Vicentini,1924-01-23,939,"Salinas, Luis",146,"Lasseube, Enrique",,Boxing Federation,,,Santiago,POINT(-70.65045 -33.437776),1
1084,Arancibia v. Torres,El Mercurio de Valparaiso,1923-01-01,1079,"Arancibia, Alfredo",1080,"Torres, Guillermo",Accepted,,,,Valparaiso,POINT(-71.612688 -33.047238),1
1139,Beell v. Férnandez,Los Sports,1925-01-23,1138,"Beell, John",276,"Férnandez, Luis",,,,,Valparaiso,POINT(-71.612688 -33.047238),1
1140,Beell v. Sanchez,Los Sports,1925-01-23,1138,"Beell, John",535,"Sanchez, Orlando",,,,,Valparaiso,POINT(-71.612688 -33.047238),1
1143,Wilson v. Lafourcade,Los Sports,1925-01-23,1142,"Wilson, Manuel",1141,"Lafourcade, Luis",,tiebreak,,,,,1
1144,Acosta v. Parra,Los Sports,1925-01-23,1145,"Acosta, Genaro",1146,"Parra, A.",,tiebreak,,,,,1
1147,Varela v. Vera,Los Sports,1925-02-20,439,"Varela, Faustino",1149,"Vera, Juan",,,,,Valparaiso,POINT(-71.619675 -33.045846),1
1152,Adasme v. Contreras,Los Sports,1925-02-27,1150,"Adasme, Alejandro",1151,"Contre., H.",,,,,Santiago,POINT(-70.65045 -33.437776),1
1153,González v. Coll,Los Sports,1925-03-13,14,"González, Gilberto",1131,"Coll, Lorenzo",,,,,Santiago,POINT(-70.669265 -33.44889),1
1156,Romero v. Martinez,Los Sports,1925-03-20,1154,"Romero, Elías",1155,"Martinez, Erasmo",,,,,,,1
1159,Vargas v. Jouglar,Los Sports,1925-03-20,1157,"Vargas, Julio",1158,"Jouglar, Jorge",,,,,,,1
1161,Caceres v. Valenzuela,Los Sports,1925-03-20,1160,"Caceres, Andres",339,"Valenzuela, Os.",,,,,,,1
1164,Concha v. Berbelegua,Los Sports,1925-03-20,1162,"Concha, Luis A.",1163,Berbelegua,,,,,,,1
1165,Gonzalez v. Duque Rodríguez,Los Sports,1925-03-20,639,"Gonzalez, Johnston",156,"Duque Rodríguez, José",,,,,Santiago,POINT(-70.65045 -33.437776),1
1166,Gonzalez v. Murray,Los Sports,1925-03-20,639,"Gonzalez, Johnston",420,"Murray, Willie",,,,,Santiago,POINT(-70.65045 -33.437776),1
1167,Gonzalez v. Suarez,Los Sports,1925-03-20,639,"Gonzalez, Johnston",1021,"Suarez, Pablo",,,,,Santiago,POINT(-70.65045 -33.437776),2
1174,Gazmuri v. Araya,Los Sports,1925-04-10,1179,"Gazmuri, Rafael",1172,"Araya, Segundo",,,,,,,1
1175,Gazmuri v. Mardones,Los Sports,1925-04-10,1179,"Gazmuri, Rafael",1173,"Mardones, Arturo",,,,,,,1
1180,Salas v. Keller,Los Sports,1925-04-10,1171,"Salas, Alfredo",1177,"Keller, Pedro",,,,,,,1
